uri	title	url	n	class for black list	alternate image	weight (if not black list or 1)	comment
http://en.wikipedia.org/wiki/Brain	Brain	https://commons.wikimedia.org/wiki/Special:FilePath/Chimp_Brain_in_a_jar.jpg	256		https://snappygoat.com/o/c862cd10e6443cc9d9e9dc94070742e4af8816ac/brain_as_gears.svg		
http://en.wikipedia.org/wiki/Education	Education	https://commons.wikimedia.org/wiki/Special:FilePath/FBE_CTU_lecture.jpg	250		https://snappygoat.com/o/703647651ed5671b0b57577eca79e9d53236b6cf/teacher-students-schoolboys-pupils-158711.svg		
http://en.wikipedia.org/wiki/Cell_%28biology%29	Cell (biology)	https://commons.wikimedia.org/wiki/Special:FilePath/Wilson1900Fig2.jpg	246				
http://en.wikipedia.org/wiki/Infection	Infection	https://commons.wikimedia.org/wiki/Special:FilePath/Malaria.jpg	246				
http://en.wikipedia.org/wiki/Cohort_study	Cohort study		240	study type			
http://en.wikipedia.org/wiki/Evidence-based_medicine	Evidence-based medicine		240				
http://en.wikipedia.org/wiki/Mutation	Mutation	https://commons.wikimedia.org/wiki/Special:FilePath/Prodryas.png	226		https://snappygoat.com/o/e3d5c7b593b1a3328ba0825d73670741c81520bb/DNA_damaged_by_carcinogenic_2-aminofluorene_AF.jpg	0.5	
http://en.wikipedia.org/wiki/Data	Data		225		https://snappygoat.com/o/d0a9125728012d2a7f6387f8308aa879e90a4f2a/binary-code-binary-binary-system-507785.jpg	0.2	
http://en.wikipedia.org/wiki/Death	Death	https://commons.wikimedia.org/wiki/Special:FilePath/Skullclose.jpg	222		https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/GHS-pictogram-skull.svg/800px-GHS-pictogram-skull.svg.png	0.2	
http://en.wikipedia.org/wiki/Scientific_method	Scientific method	https://commons.wikimedia.org/wiki/Special:FilePath/The_Scientific_Method_as_an_Ongoing_Process.svg	212	study type			
http://en.wikipedia.org/wiki/Metabolism	Metabolism	https://commons.wikimedia.org/wiki/Special:FilePath/ATP-3D-vdW.png	212				
http://en.wikipedia.org/wiki/Phylogenetic_tree	Phylogenetic tree	https://commons.wikimedia.org/wiki/Special:FilePath/Neomuratree.svg	209				
http://en.wikipedia.org/wiki/Obesity	Obesity	https://commons.wikimedia.org/wiki/Special:FilePath/Obesity-waist_circumference.svg	205		https://snappygoat.com/o/b648ac51f5615de7b505c85fad279a8d20cfae74/Buclin.jpg		
http://en.wikipedia.org/wiki/Developmental_biology	Developmental biology	https://commons.wikimedia.org/wiki/Special:FilePath/Views_of_a_Foetus_in_the_Womb.jpg	202		https://snappygoat.com/o/8d0ff8c0ed5f38362adb94ed08e57bfeb115ef5d/Human%20embryogenesis.png		
http://en.wikipedia.org/wiki/Bacteria	Bacteria	https://commons.wikimedia.org/wiki/Special:FilePath/EscherichiaColi_NIAID.jpg	200				
http://en.wikipedia.org/wiki/Protein	Protein	https://commons.wikimedia.org/wiki/Special:FilePath/Myoglobin.png	198				
http://en.wikipedia.org/wiki/Time	Time	https://commons.wikimedia.org/wiki/Special:FilePath/Wooden_hourglass_3.jpg	196		https://snappygoat.com/o/ccd20b3df1b98957ab51ee302d7a488140965647/time-timer-clock-watch-hour-371226.jpg	0.5	
http://en.wikipedia.org/wiki/Qualitative_research	Qualitative research		195	study type			
